['Deniz Yılmaz', 'Fenerbahçe']
['Emre Belözoğlu', 'Fenerbahçe']
['Harun Tekin', 'Fenerbahçe']
['Erten Ersu', 'Fenerbahçe']
['Altay Bayındır', 'Fenerbahçe']
['Hasan Ali Kaldırım', 'Fenerbahçe']
['Mauricio Aníbal Isla Isla', 'Fenerbahçe']
['Serdar Aziz', 'Fenerbahçe']
['Sadık Çiftpınar', 'Fenerbahçe']
['Murat Sağlam', 'Fenerbahçe']
['Mathias Jattah-Njie Jørgensen', 'Fenerbahçe']
['Adil Rami', 'Fenerbahçe']
['Muhammet Ömer Çakı', 'Fenerbahçe']
['Tolgay Ali Arslan', 'Fenerbahçe']
['Ozan Tufan', 'Fenerbahçe']
['Mehmet Ekici', 'Fenerbahçe']
['Victor Moses', 'Fenerbahçe']
['Tolga Ciğerci', 'Fenerbahçe']
['Ferdi Erenay Kadıoğlu', 'Fenerbahçe']
['Nabil Dirar', 'Fenerbahçe']
['Deniz Türüç', 'Fenerbahçe']
['Garry Mendes Rodrigues', 'Fenerbahçe']
['Jaílson Marques Siqueira', 'Fenerbahçe']
['Alper Potuk', 'Fenerbahçe']
['Muhammed Gümüşkaya', 'Fenerbahçe']
['Mevlüt Erdinç', 'Fenerbahçe']
['Max Kruse', 'Fenerbahçe']
['Vedat Muriqi', 'Fenerbahçe']
['Luiz Gustavo Dias', 'Fenerbahçe']
['Miha Zajc', 'Fenerbahçe']
