['Fernando Muslera', 'Galatasaray']
['Batuhan Ahmet Şen', 'Galatasaray']
['Okan Kocuk', 'Galatasaray']
['Şener Özbayraklı', 'Galatasaray']
['Ömer Bayram', 'Galatasaray']
['Mariano Ferreira Filho', 'Galatasaray']
['Yuto Nagatomo', 'Galatasaray']
['Jean Michaël Seri', 'Galatasaray']
['Adem Büyük', 'Galatasaray']
['Selçuk İnan', 'Galatasaray']
['Younes Belhanda', 'Galatasaray']
['Ryan Donk', 'Galatasaray']
['Emre Akbaba', 'Galatasaray']
['Jakup Jimmy Durmaz', 'Galatasaray']
['Atalay Babacan', 'Galatasaray']
['Taylan Antalyalı', 'Galatasaray']
['Sofiane Feghouli', 'Galatasaray']
['Steven Nkemboanza Mike Christopher Nzonzi', 'Galatasaray']
['Mario Rene Junior Lemina', 'Galatasaray']
['Radamel Falcao Garcia Zarate', 'Galatasaray']
['Ryan Babel', 'Galatasaray']
['Yunus Akgün', 'Galatasaray']
['Florin Andone', 'Galatasaray']
['Emre Mor', 'Galatasaray']
['Emre Taşdemir', 'Galatasaray']
['Ahmet Çalık', 'Galatasaray']
['Christian Luyindama', 'Galatasaray']
['Marcos do Nascimento Teixeira', 'Galatasaray']
